x,y
1.80020429543,2.84162095484
1.80440492981,2.63180184423
1.81235164765,2.41978205204
1.81060549708,2.20863847265
1.79988005665,1.96822670854
1.79275474794,1.74156193126
1.79368112002,1.51424277087
1.79527207366,1.30283971387
1.80198458185,1.03247307423
1.8022293936,0.787658978574
1.8005084453,0.555659727556
1.79687380796,0.321844538268
1.8062654268,0.111643366201
1.81190103209,-0.102099970459
1.81352446617,-0.303229485628
1.81518885237,-0.533084809006
1.81538016017,-0.772772950733
1.81653400223,-0.977045117979
1.81185866915,-1.22468760331
1.80645866297,-1.4364197592
1.8014332751,-1.65147332405
1.79776468267,-1.89111297321
1.79363772699,-2.13204238942
1.78854876974,-2.35716633782
1.77988813787,-2.58661520255
1.76367672508,-2.79669770594
1.74323365718,-3.02485481527
1.7178133874,-3.26384241021
1.69464298191,-3.48414150223
1.66779419707,-3.71844142095
1.64445863664,-3.92037571876
1.60537004192,-4.13558361447
1.55728617723,-4.36721100187
1.51433323453,-4.58543673168
1.47706885081,-4.82486284001
1.44320572616,-5.0452519601
1.41671740704,-5.2565385376
1.38300358289,-5.47128992689
1.35027431224,-5.68808385713
1.32056824841,-5.8924999908
1.28207800178,-6.09609142617
1.2563426882,-6.31461300663
1.23632844173,-6.51556141329
1.2043556787,-6.78410250064
1.16593796483,-7.02767469983
1.13754314322,-7.23323778537
1.11849428819,-7.44575038382
1.09394819197,-7.65055918304
1.06025160754,-7.90175251991
1.02807888112,-8.12607610524
1.0068563806,-8.3297212053
0.97761580324,-8.55017074248
0.960265487597,-8.78804753439
0.965064356526,-9.01379262387
0.98704917588,-9.21778117835
1.01646331792,-9.42561191585
1.05340007351,-9.64248630487
1.10134559263,-9.85295178767
1.15761967393,-10.0576840717
1.22145945989,-10.2495563259
1.29594243753,-10.4430649478
1.38069838043,-10.634151168
1.48856261238,-10.8337307232
1.59626684503,-11.0095682832
1.71002171159,-11.1807050657
1.82827013525,-11.3429528782
2.00637567655,-11.5524355822
2.16627836304,-11.6809076914
2.34227320097,-11.7826071
2.53590835869,-11.8520153278
2.73770120082,-11.9039009602
2.9541973001,-11.9180573406
3.16541190863,-11.9002564488
3.37834805537,-11.8611802789
3.59450379993,-11.8392487781
3.79493068657,-11.8382225653
3.99964062715,-11.8572001621
4.19931212902,-11.8728238371
